0.0661894,0.0774884,0.0841379,1,0.09,0.01,200000,1000000
0.379873,0.112946,0.120376,4,0.09,0.01,200000,1000000
0.613342,0.157814,0.156462,16,0.09,0.01,200000,1000000
0.66192,0.0765565,0.0947879,64,0.09,0.01,200000,1000000
1.13374,0.0757533,0.0733904,128,0.09,0.01,200000,1000000
0.0853543,0.0994283,0.0980169,1,0.09,0.01,2000000,1000000
0.435717,0.116365,0.113742,4,0.09,0.01,2000000,1000000
0.687054,0.137945,0.144618,16,0.09,0.01,2000000,1000000
0.772133,0.0751757,0.0777109,64,0.09,0.01,2000000,1000000
1.1164,0.0733205,0.0741663,128,0.09,0.01,2000000,1000000
0.106282,0.13338,0.135801,1,0.2,0.1,200000,1000000
0.592866,0.161429,0.135235,4,0.2,0.1,200000,1000000
0.934381,0.231396,0.185277,16,0.2,0.1,200000,1000000
1.02593,0.108015,0.105871,64,0.2,0.1,200000,1000000
1.54954,0.0855372,0.0761885,128,0.2,0.1,200000,1000000
0.14691,0.203962,0.171423,1,0.2,0.1,2000000,1000000
0.727922,0.152247,0.142516,4,0.2,0.1,2000000,1000000
1.02242,0.152683,0.153602,16,0.2,0.1,2000000,1000000
1.2819,0.0717572,0.0688157,64,0.2,0.1,2000000,1000000
1.60902,0.0834206,0.0747038,128,0.2,0.1,2000000,1000000
0.206958,0.281102,0.250211,1,0.5,0.5,200000,1000000
1.03331,0.255396,0.216693,4,0.5,0.5,200000,1000000
1.47792,0.218671,0.173783,16,0.5,0.5,200000,1000000
1.78971,0.140631,0.115533,64,0.5,0.5,200000,1000000
2.62082,0.105071,0.0967236,128,0.5,0.5,200000,1000000
0.388728,0.481089,0.388015,1,0.5,0.5,2000000,1000000
1.32603,0.287039,0.26872,4,0.5,0.5,2000000,1000000
1.81224,0.178643,0.175414,16,0.5,0.5,2000000,1000000
2.2715,0.104505,0.105888,64,0.5,0.5,2000000,1000000
2.7817,0.0948244,0.0950117,128,0.5,0.5,2000000,1000000
